date,description
2020-12-08,jcvi_group='01' OR jcvi_group='02' OR jcvi_group='03'
2021-01-18,jcvi_group='04'
2021-02-15,jcvi_group='05' OR jcvi_group='06'
2021-02-22,age_1 >= 64 AND age_1 < 65
2021-03-01,age_1 >= 60 AND age_1 < 64
2021-03-08,age_1 >= 56 AND age_1 < 60
2021-03-09,age_1 >= 55 AND age_1 < 56
2021-03-19,age_1 >= 50 AND age_1 < 55
2021-04-13,age_2 >= 45 AND age_1 < 50
2021-04-26,age_2 >= 44 AND age_1 < 45
2021-04-27,age_2 >= 42 AND age_1 < 44
2021-04-30,age_2 >= 40 AND age_1 < 42
2021-05-13,age_2 >= 38 AND age_2 < 40
2021-05-19,age_2 >= 36 AND age_2 < 38
2021-05-21,age_2 >= 34 AND age_2 < 36
2021-05-25,age_2 >= 32 AND age_2 < 34
2021-05-26,age_2 >= 30 AND age_2 < 32
2021-06-08,age_2 >= 25 AND age_2 < 30
2021-06-15,age_2 >= 23 AND age_2 < 25
2021-06-16,age_2 >= 21 AND age_2 < 23
2021-06-18,age_2 >= 18 AND age_2 < 21
2100-12-31,DEFAULT
